ID;Name;Description;Coordinates
5018402;DANTE;63 BOULEVARD SAINT-GERMAIN - 75105;48.8505979652,2.34598415543
5370693;FONTENAY-AUX-ROSES RER;25 AVENUE LOMBART - 92032;48.7882424652,2.29326524827
5018410;PLACE D'ITALIE - MAIRIE DU 13E;6 PLACE D'ITALIE - 75113;48.8317501076,2.35481619617
5423654;GARE DE PIERREFITTE - STAINS RER;AVENUE LEDRU-ROLLIN - 93059;48.9634800073,2.37088391703
5020433;ABBE LEMIRE;182 RUE DU MESNIL - 92004;48.9242430841,2.27876177616
5020464;OLYMPE DE GOUGES;FACE 5 RUE OLYMPE DE GOUGES - 92004;48.9183334754,2.31804109075
5454912;JUSSIEU;45 RUE LINNE - 75105;48.8462471084,2.35437173075
5067249;LIAISON INOVEL SUD;47 AVENUE DE L'EUROPE (CHAUSSEE SUD) - 78640;48.7782740927,2.21504895674
5454930;RUNGIS;102 RUE BOBILLOT - 75113;48.8230059925,2.347395087
5081737;GRESILLONS - LAURENT CELY;AVENUE LAURENT CELY - 92036;48.9179629802,2.30804586777
5478242;FELIX LANGLAIS;183 RUE DE PARIS - 94018;48.8291635657,2.40157563712
5478254;PASSERELLE DE CHARENTONNEAU;134 RUE DU MARECHAL LECLERC - 94069;48.8178356684,2.44388850208
5091941;PRESIDENT ROBERT SCHUMAN;6-8 BOULEVARD DES FRERES VOISIN - 92040;48.8277048621,2.26810308702
5478439;BEAUJEU;58 BIS BOULEVARD DE CRETEIL - 94068;48.79816033,2.47930217462
5478459;AVENUE VICTORIA;8 AVENUE VICTORIA - 94068;48.7968720513,2.4959096947
5092014;GILBERT BONNEMAISON;FACE 115 RUE DE PARIS - 93031;48.9551593273,2.30728799295
5121033;FRANCIS DE PRESSENSE;327 AVENUE DE LA DIVISION LECLERC - 92019;48.7662194577,2.25491481728
